cluster_id,x,y,z
125,6.2297745,7.3683505,3.2441876
126,7.026777,8.656714,4.8976655
127,11.415951,8.56527,4.999136
128,7.056859,8.629763,5.258824
129,6.4283357,8.003707,3.304071
130,5.956071,7.460411,3.141162
131,6.5802855,6.954885,3.0674894
132,8.3659525,7.215353,2.7401652
133,8.208198,7.1090055,2.8260741
134,6.1719847,8.185733,3.9471366
135,7.7618966,7.0940385,3.3831315
136,8.257563,7.5209947,4.9850187
137,8.683089,7.250343,2.9999607
139,8.243822,7.150855,3.061171
140,7.255439,7.9030185,4.5281644
141,7.581045,7.8800716,4.773149
142,10.057472,6.8501244,2.5881271
143,6.347677,7.5868373,3.7487998
144,8.909984,7.753422,2.5960953
146,9.974707,6.8503776,2.5357628
147,10.013504,6.8899703,2.5544987
148,6.4839096,8.10791,3.9175045
149,9.965196,6.8496895,2.834022
151,10.027898,6.9270544,2.720994
152,10.035469,6.8853292,2.5423975
153,10.039592,6.8763437,2.6087465
154,8.414197,7.2439713,2.68578
155,8.63428,7.9251957,2.6435614
156,8.43193,7.2398458,2.7564437
157,8.474837,7.2730618,2.7346535
158,8.362166,7.0852942,2.8436985
159,8.355472,7.2056785,2.7602742
160,7.6619368,9.165151,3.7793634
161,7.524476,8.162609,4.2160015
162,9.105308,6.645489,3.222282
163,7.961341,7.042015,4.672161
164,9.407579,6.078999,4.561976
165,9.540853,7.393816,3.5918362
166,7.3566337,9.683454,5.013767
167,8.994919,9.291521,3.2258348
168,7.1148815,8.835505,5.1429644
169,9.608879,8.392273,5.1719594
170,7.1216507,8.812574,3.73314
171,9.396564,8.750677,2.0882316
172,11.828188,6.5167375,3.327603
173,7.008377,8.604076,4.207128
174,7.355233,6.710507,4.224021
176,11.931115,6.456867,3.4208922
177,7.290439,6.434861,3.9942036
178,9.523171,8.456924,5.546447
179,7.5318704,7.273491,4.0412993
180,8.130749,7.231972,4.6505175
181,10.5405855,4.739673,4.890045
182,8.449633,7.1448064,2.7809408
183,7.5313454,7.201128,4.3625565
184,7.527322,7.303264,4.3818183
185,6.453933,7.9482527,3.947041
186,7.0172596,8.35822,3.8215692
187,11.796557,5.935321,4.1709146
189,8.149683,8.204389,4.303316
190,11.875898,6.4454455,3.349673
191,11.806751,6.463867,3.2944832
192,11.9338455,6.3073235,3.4927285
193,11.972344,6.121724,3.6298358
194,12.004522,6.074671,3.6647978
195,7.5351105,7.863275,4.5086317
196,6.6772614,9.166104,4.6103234
197,9.153944,7.1251993,3.24059
198,7.4872427,7.432123,4.741998
199,7.571377,7.370277,4.7780724
